array_size,index,method,time,
250,8,change_order_merge_array,0.00317,
250,8,unnested_loop,0.002344,
250,8,change_order_unnested_loop_merge_array,0.002479,
250,9,original,0.002709,
250,9,merge_array,0.002905,
250,9,change_order,0.002984,
250,9,change_order_merge_array,0.002879,
250,9,unnested_loop,0.002351,
250,9,change_order_unnested_loop_merge_array,0.002414,
250,10,original,0.002813,
250,10,merge_array,0.00284,
250,10,change_order,0.003207,
250,10,change_order_merge_array,0.002783,
250,10,unnested_loop,0.002344,
250,10,change_order_unnested_loop_merge_array,0.002417,
250,11,original,0.002654,
250,11,merge_array,0.003279,
250,11,change_order,0.00286,
250,11,change_order_merge_array,0.003021,
250,11,unnested_loop,0.002366,
250,11,change_order_unnested_loop_merge_array,0.002616,
250,12,original,0.003274,
250,12,merge_array,0.00278,
250,12,change_order,0.002724,
250,12,change_order_merge_array,0.002847,
250,12,unnested_loop,0.00228,
250,12,change_order_unnested_loop_merge_array,0.002405,
250,13,original,0.002731,
250,13,merge_array,0.00278,
250,13,change_order,0.00271,
250,13,change_order_merge_array,0.002852,
250,13,unnested_loop,0.002285,
250,13,change_order_unnested_loop_merge_array,0.002403,
250,14,original,0.00273,
250,14,merge_array,0.00278,
250,14,change_order,0.002699,
250,14,change_order_merge_array,0.002806,
250,14,unnested_loop,0.002328,
250,14,change_order_unnested_loop_merge_array,0.00242,
250,15,original,0.002753,
250,15,merge_array,0.002845,
250,15,change_order,0.002729,
250,15,change_order_merge_array,0.002986,
250,15,unnested_loop,0.00246,
250,15,change_order_unnested_loop_merge_array,0.002472,
250,16,original,0.002803,
250,16,merge_array,0.002878,
250,16,change_order,0.002796,
250,16,change_order_merge_array,0.002972,
250,16,unnested_loop,0.002361,
250,16,change_order_unnested_loop_merge_array,0.002509,
250,17,original,0.00283,
250,17,merge_array,0.002845,
250,17,change_order,0.002796,
250,17,change_order_merge_array,0.002914,
250,17,unnested_loop,0.002374,
250,17,change_order_unnested_loop_merge_array,0.00249,
250,18,original,0.002828,
250,18,merge_array,0.002845,
250,18,change_order,0.002781,
250,18,change_order_merge_array,0.002873,
250,18,unnested_loop,0.002333,
250,18,change_order_unnested_loop_merge_array,0.002474,
250,19,original,0.002816,
250,19,merge_array,0.002845,
250,19,change_order,0.002787,
250,19,change_order_merge_array,0.002835,
250,19,unnested_loop,0.002332,
250,19,change_order_unnested_loop_merge_array,0.002416,
250,20,original,0.002755,
250,20,merge_array,0.002845,
250,20,change_order,0.00273,
250,20,change_order_merge_array,0.002835,
250,20,unnested_loop,0.002334,
250,20,change_order_unnested_loop_merge_array,0.002415,
250,21,original,0.002751,
250,21,merge_array,0.002845,
250,21,change_order,0.00273,
250,21,change_order_merge_array,0.002835,
250,21,unnested_loop,0.002332,
250,21,change_order_unnested_loop_merge_array,0.002415,
250,22,original,0.002751,
250,22,merge_array,0.002844,
250,22,change_order,0.00273,
250,22,change_order_merge_array,0.002835,
250,22,unnested_loop,0.002335,
250,22,change_order_unnested_loop_merge_array,0.002415,
250,23,original,0.002751,
250,23,merge_array,0.002883,
250,23,change_order,0.002729,
250,23,change_order_merge_array,0.002877,
250,23,unnested_loop,0.002472,
250,23,change_order_unnested_loop_merge_array,0.002527,
250,24,original,0.002806,
250,24,merge_array,0.002873,
250,24,change_order,0.002683,
250,24,change_order_merge_array,0.002967,
250,24,unnested_loop,0.002428,
250,24,change_order_unnested_loop_merge_array,0.002556,
250,25,original,0.002796,
250,25,merge_array,0.002885,
250,25,change_order,0.002728,
250,25,change_order_merge_array,0.002878,
250,25,unnested_loop,0.002373,
250,25,change_order_unnested_loop_merge_array,0.002413,
250,26,original,0.002755,
250,26,merge_array,0.002854,
250,26,change_order,0.002727,
250,26,change_order_merge_array,0.002898,
250,26,unnested_loop,0.00237,
250,26,change_order_unnested_loop_merge_array,0.002416,
250,27,original,0.002757,
250,27,merge_array,0.002849,
250,27,change_order,0.002728,
250,27,change_order_merge_array,0.002835,
250,27,unnested_loop,0.002334,
250,27,change_order_unnested_loop_merge_array,0.002416,
250,28,original,0.002901,
250,28,merge_array,0.00289,
250,28,change_order,0.002728,
250,28,change_order_merge_array,0.002836,
250,28,unnested_loop,0.002334,
250,28,change_order_unnested_loop_merge_array,0.002415,
250,29,original,0.00275,
250,29,merge_array,0.002849,
250,29,change_order,0.002727,
250,29,change_order_merge_array,0.002835,
250,29,unnested_loop,0.002335,
250,29,change_order_unnested_loop_merge_array,0.002414,
500,0,original,0.012399,
500,0,merge_array,0.011533,
500,0,change_order,0.011348,
500,0,change_order_merge_array,0.01158,
500,0,unnested_loop,0.009491,
500,0,change_order_unnested_loop_merge_array,0.009887,
500,1,original,0.011264,
500,1,merge_array,0.01154,
500,1,change_order,0.011077,
500,1,change_order_merge_array,0.011537,
500,1,unnested_loop,0.009374,
500,1,change_order_unnested_loop_merge_array,0.00967,
500,2,original,0.011015,
500,2,merge_array,0.011407,
500,2,change_order,0.010793,
500,2,change_order_merge_array,0.011206,
500,2,unnested_loop,0.009157,
500,2,change_order_unnested_loop_merge_array,0.009628,
500,3,original,0.010972,
500,3,merge_array,0.011291,
500,3,change_order,0.011075,
500,3,change_order_merge_array,0.011608,
500,3,unnested_loop,0.009164,
500,3,change_order_unnested_loop_merge_array,0.009577,
500,4,original,0.010867,
500,4,merge_array,0.011258,
500,4,change_order,0.010938,
500,4,change_order_merge_array,0.011378,
500,4,unnested_loop,0.009202,
500,4,change_order_unnested_loop_merge_array,0.009483,
500,5,original,0.01096,
500,5,merge_array,0.011287,
500,5,change_order,0.010782,
500,5,change_order_merge_array,0.011214,
